ss,task,seed,K,ok,mean_cand,regret_B5,regret_B10,regret_B25,err
6767,9967,1,1,1,1.0,0.0027200392953249386,0.0027200392953249386,0.0013600196476626358,
6767,9967,0,50,1,50.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,1,2,1,2.0,0.0027200392953249386,0.0027200392953249386,0.0027200392953249386,
6767,9967,1,5,1,5.0,0.0027200392953249386,0.0013600196476626358,0.0013600196476626358,
6767,9967,1,3,1,3.0,0.0027200392953249386,0.0027200392953249386,0.0027200392953249386,
6767,9967,1,8,1,8.0,0.0027200392953249386,0.0027200392953249386,0.0013600196476626358,
6767,9967,1,20,1,20.0,0.0027200392953249386,0.0027200392953249386,0.0013600196476626358,
6767,9967,1,13,1,13.0,0.0027200392953249386,0.0027200392953249386,0.0027200392953249386,
6767,9967,1,35,1,35.0,0.0027200392953249386,0.0027200392953249386,0.0013600196476626358,
6767,9967,1,50,1,50.0,0.0027200392953249386,0.0,0.0,
6767,9967,2,2,1,2.0,0.0027200392953249386,0.0013600196476626358,0.0013600196476626358,
6767,9967,2,1,1,1.0,0.0027200392953249386,0.0,0.0,
6767,9967,2,3,1,3.0,0.0027200392953249386,0.0013600196476626358,0.0013600196476626358,
6767,9967,2,8,1,8.0,0.0027200392953249386,0.0013600196476626358,0.0013600196476626358,
6767,9967,2,5,1,5.0,0.0027200392953249386,0.0027200392953249386,0.0013600196476626358,
6767,9967,2,13,1,13.0,0.0027200392953249386,0.0027200392953249386,0.0027200392953249386,
6767,9967,2,20,1,20.0,0.0027200392953249386,0.0027200392953249386,0.0,
6767,9967,2,35,1,35.0,0.0027200392953249386,0.0027200392953249386,0.0013600196476626358,
6767,9967,2,50,1,50.0,0.0027200392953249386,0.0027200392953249386,0.0027200392953249386,
6767,9967,3,1,1,1.0,0.01088543881099946,0.0013600196476626358,0.0013600196476626358,
6767,9967,3,2,1,2.0,0.01088543881099946,0.0027200392953249386,0.0027200392953249386,
6767,9967,3,3,1,3.0,0.01088543881099946,0.0027200392953249386,0.0013600196476626358,
6767,9967,3,5,1,5.0,0.01088543881099946,0.01088543881099946,0.0013600196476626358,
6767,9967,3,8,1,8.0,0.01088543881099946,0.0027200392953249386,0.0027200392953249386,
6767,9967,3,13,1,13.0,0.01088543881099946,0.0027200392953249386,0.0013600196476626358,
6767,9967,3,35,1,35.0,0.01088543881099946,0.0027200392953249386,0.0027200392953249386,
6767,9967,3,20,1,20.0,0.01088543881099946,0.0013600196476626358,0.0013600196476626358,
6767,9967,3,50,1,50.0,0.01088543881099946,0.0027200392953249386,0.0027200392953249386,
6767,9967,4,1,1,1.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,4,2,1,2.0,0.0013600196476626358,0.0013600196476626358,0.0,
6767,9967,4,8,1,8.0,0.0013600196476626358,0.0013600196476626358,0.0,
6767,9967,4,5,1,5.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,4,3,1,3.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,4,13,1,13.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,4,20,1,20.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,4,35,1,35.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,4,50,1,50.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,31,0,1,1,1.0,0.20833333333333348,0.20833333333333348,0.15000000000000013,
6767,31,0,2,1,2.0,0.20833333333333348,0.18333333333333346,0.15000000000000013,
6767,31,0,3,1,3.0,0.20833333333333348,0.20000000000000018,0.10833333333333339,
6767,31,0,5,1,5.0,0.20833333333333348,0.15000000000000013,0.11666666666666681,
6767,31,0,8,1,8.0,0.20833333333333348,0.15000000000000013,0.1250000000000001,
6767,31,0,13,1,13.0,0.20833333333333348,0.15000000000000013,0.09166666666666679,
6767,31,0,20,1,20.0,0.20833333333333348,0.19166666666666687,0.07500000000000007,
6767,31,0,35,1,35.0,0.20833333333333348,0.06666666666666676,0.06666666666666676,
6767,31,1,1,1,1.0,0.17500000000000016,0.17500000000000016,0.15833333333333344,
6767,31,0,50,1,50.0,0.20833333333333348,0.20833333333333348,0.11666666666666681,
6767,31,1,3,1,3.0,0.17500000000000016,0.17500000000000016,0.16666666666666685,
6767,31,1,2,1,2.0,0.17500000000000016,0.15000000000000013,0.15000000000000013,
6767,31,1,5,1,5.0,0.17500000000000016,0.14166666666666683,0.14166666666666683,
6767,31,1,8,1,8.0,0.17500000000000016,0.14166666666666683,0.11666666666666681,
