ss,task,seed,surrogate,mode,ok,regret,mean_cand,err
5965,145836,3,gp,restricted,1,0.060599535331784304,2000.0,
5965,145836,4,tpe,adaptive,1,0.1363631212104044,1000.0,
5965,145836,3,gp,adaptive,1,0.04544681815606122,1000.0,
5965,9914,0,tpe,full,1,0.051532762964256684,11305.5,
5965,145836,4,gp,restricted,1,0.060599535331784304,2000.0,
5965,145836,4,gp,full,1,0.10605768685895589,11213.5,
5965,9914,0,tpe,restricted,1,0.025766381482126954,2000.0,
5965,9914,0,tpe,adaptive,1,0.0360679454241587,1000.0,
5965,145836,4,gp,adaptive,1,0.060599535331784304,1008.05,
5965,9914,1,tpe,full,1,0.0360679454241587,11305.5,
5965,9914,0,gp,restricted,1,0.0360679454241587,2000.0,
5965,9914,0,gp,full,1,0.0360679454241587,11305.5,
5965,9914,0,gp,adaptive,1,0.0360679454241587,1235.15,
5965,9914,1,tpe,restricted,1,0.0360679454241587,2000.0,
5965,9914,1,tpe,adaptive,1,0.0360679454241587,1000.0,
5965,9914,2,tpe,full,1,0.0360679454241587,11305.5,
5965,9914,1,gp,full,1,0.0360679454241587,11305.5,
5965,9914,2,tpe,restricted,1,0.025766381482126954,2000.0,
5965,9914,1,gp,restricted,1,0.0206031278840636,2000.0,
5965,9914,2,tpe,adaptive,1,0.046394452620288185,1000.0,
5965,9914,1,gp,adaptive,1,0.025766381482126954,1300.0,
5965,9914,3,tpe,full,1,0.030929635080193085,11305.5,
5965,9914,2,gp,restricted,1,0.04123119902222483,2000.0,
5965,9914,2,gp,full,1,0.04123119902222483,11305.5,
5965,9914,3,tpe,restricted,1,0.0360679454241587,2000.0,
5965,9914,3,tpe,adaptive,1,0.04123119902222483,1000.0,
5965,9914,2,gp,adaptive,1,0.025766381482126954,1119.85,
5965,9914,4,tpe,full,1,0.04123119902222483,11305.5,
5965,9914,3,gp,restricted,1,0.0360679454241587,2000.0,
5965,9914,4,tpe,restricted,1,0.025766381482126954,2000.0,
5965,9914,3,gp,full,1,0.030929635080193085,11305.5,
5965,9914,4,tpe,adaptive,1,0.0360679454241587,1000.0,
