ss,task,seed,surrogate,mode,ok,regret,mean_cand,over_pred,err
6794,10101,0,gp,restricted,1,0.08954807305854562,2000.0,,
6794,10101,0,gp,full,1,0.04477961863082314,65937.5,0.002695840473348443,
6794,10101,1,tpe,full,1,0.13432769168936753,65937.5,,
6794,10101,1,tpe,restricted,1,0.08954807305854562,2000.0,,
6794,10101,2,tpe,full,1,0.07462153351493783,65937.5,,
6794,10101,1,gp,restricted,1,0.04477961863082314,2000.0,,
6794,10101,2,tpe,restricted,1,0.07462153351493783,2000.0,,
6794,10101,1,gp,full,1,0.04477961863082314,65937.5,-0.011182531360616393,
6794,10101,2,gp,restricted,1,0.0597061581744297,2000.0,,
6794,10101,3,tpe,restricted,1,0.22387576474791315,2000.0,,
6794,10101,3,tpe,full,1,0.11940115214575986,65937.5,,
6794,10101,2,gp,full,1,0.0597061581744297,65937.5,0.03921229527851229,
6794,10101,4,tpe,full,1,0.11940115214575986,65937.5,,
6794,10101,4,tpe,restricted,1,0.08954807305854562,2000.0,,
6794,10101,3,gp,restricted,1,0.08954807305854562,2000.0,,
6794,10101,3,gp,full,1,0.07462153351493783,65937.5,-0.027922338017324078,
6794,10101,4,gp,restricted,1,0.04477961863082314,2000.0,,
6794,9914,0,tpe,full,1,0.033150648309050124,69185.5,,
6794,9914,0,tpe,restricted,1,0.022109343670632886,2000.0,,
6794,10101,4,gp,full,1,0.02985307908721546,65937.5,0.02989209020550384,
6794,9914,0,gp,restricted,1,0.01657532415452656,2000.0,,
6794,9914,1,tpe,full,1,0.027616628792943798,69185.5,,
6794,9914,1,tpe,restricted,1,0.038684667825159336,2000.0,,
6794,9914,1,gp,restricted,1,0.022109343670632886,2000.0,,
6794,9914,2,tpe,full,1,0.04419195294746736,69185.5,,
6794,9914,0,gp,full,1,0.01657532415452656,69185.5,-0.023050154096652647,
6794,9914,1,gp,full,1,0.027616628792943798,69185.5,-0.007374054428854265,
6794,9914,2,tpe,restricted,1,0.033150648309050124,2000.0,,
