ss,task,seed,K,regret,mean_cand
6767,9914,2,100,0.04783514702477443,100.0
6767,9914,2,250,0.03827274832137095,250.0
6767,9914,2,500,0.03827274832137095,500.0
6767,9914,2,1000,0.0621903218337595,1000.0
6767,9914,2,2000,0.03827274832137095,2000.0
6767,9914,2,4000,0.023917573512388546,4000.0
6767,9914,2,8000,0.052627923130356025,8000.0
6767,9914,2,16000,0.16267654549664456,16000.0
6767,9914,2,full,0.03827274832137095,47395.5
6767,9914,3,50,0.06698309793933854,50.0
6767,9914,3,100,0.052627923130356025,100.0
6767,9914,3,250,0.052627923130356025,250.0
6767,9914,3,500,0.043042370919195494,500.0
6767,9914,3,1000,0.08133827274832095,1000.0
6767,9914,3,2000,0.04783514702477443,2000.0
6767,9914,3,4000,0.07654549664274202,4000.0
6767,9914,3,8000,0.03827274832137095,8000.0
6767,9914,3,16000,0.04783514702477443,16000.0
6767,9914,3,full,0.043042370919195494,47395.5
6767,9914,4,50,0.043042370919195494,50.0
6767,9914,4,100,0.014355174808985072,100.0
6767,9914,4,250,0.052627923130356025,250.0
6767,9914,4,500,0.435401713359575,500.0
6767,9914,4,1000,0.08610789534614549,1000.0
6767,9914,4,2000,0.04783514702477443,2000.0
6767,9914,4,4000,0.0573975457281779,4000.0
6767,9914,4,8000,0.009562398703403474,8000.0
6767,9914,4,16000,0.03827274832137095,16000.0
6767,9914,4,full,0.03347997221579202,47395.5
6767,9967,0,50,0.0013600196476626358,50.0
6767,9967,0,100,0.0013600196476626358,100.0
6767,9967,0,250,0.0,250.0
6767,9967,0,500,0.0013600196476626358,500.0
6767,9967,0,1000,0.0013600196476626358,1000.0
6767,9967,0,2000,0.0013600196476626358,2000.0
6767,9967,0,4000,0.0013600196476626358,4000.0
6767,9967,0,8000,0.0013600196476626358,8000.0
6767,9967,0,16000,0.0013600196476626358,16000.0
6767,9967,0,full,0.0013600196476626358,48609.5
6767,9967,1,50,0.0,50.0
6767,9967,1,100,0.0027200392953249386,100.0
6767,9967,1,250,0.0,250.0
6767,9967,1,500,0.0027200392953249386,500.0
6767,9967,1,1000,0.0027200392953249386,1000.0
6767,9967,1,2000,0.0027200392953249386,2000.0
6767,9967,1,4000,0.0027200392953249386,4000.0
6767,9967,1,8000,0.0,8000.0
6767,9967,1,16000,0.0027200392953249386,16000.0
6767,9967,1,full,0.0,48609.5
6767,9967,2,50,0.0027200392953249386,50.0
6767,9967,2,100,0.0013600196476626358,100.0
6767,9967,2,250,0.0,250.0
6767,9967,2,500,0.0013600196476626358,500.0
6767,9967,2,1000,0.0013600196476626358,1000.0
6767,9967,2,2000,0.0013600196476626358,2000.0
6767,9967,2,4000,0.0027200392953249386,4000.0
6767,9967,2,8000,0.0,8000.0
6767,9967,2,16000,0.0027200392953249386,16000.0
6767,9967,2,full,0.0,48609.5
6767,9967,3,50,0.0027200392953249386,50.0
6767,9967,3,100,0.0027200392953249386,100.0
6767,9967,3,250,0.0013600196476626358,250.0
6767,9967,3,500,0.0027200392953249386,500.0
6767,9967,3,1000,0.0013600196476626358,1000.0
6767,9967,3,2000,0.0027200392953249386,2000.0
6767,9967,3,4000,0.0013600196476626358,4000.0
6767,9967,3,8000,0.0027200392953249386,8000.0
6767,9967,3,16000,0.0027200392953249386,16000.0
6767,9967,3,full,0.0013600196476626358,48609.5
6767,9967,4,50,0.0013600196476626358,50.0
6767,9967,4,100,0.0013600196476626358,100.0
6767,9967,4,250,0.0013600196476626358,250.0
6767,9967,4,500,0.0013600196476626358,500.0
6767,9967,4,1000,0.0013600196476626358,1000.0
6767,9967,4,2000,0.0013600196476626358,2000.0
6767,9967,4,4000,0.0013600196476626358,4000.0
6767,9967,4,8000,0.0013600196476626358,8000.0
6767,9967,4,16000,0.0013600196476626358,16000.0
6767,9967,4,full,0.0013600196476626358,48609.5
6767,31,0,50,0.11666666666666681,50.0
6767,31,0,100,0.14166666666666683,100.0
6767,31,0,250,0.11666666666666681,250.0
6767,31,0,500,0.10833333333333339,500.0
6767,31,0,1000,0.14166666666666683,1000.0
