ss,task,seed,step,U,K,gap_norm,retains_top,sel_obj_rank,reg_restrict,reg_full
6767,9914,1,15,47395,1000,0.0166,0,0.9938,0.03347997221579202,0.03347997221579202
6767,9914,1,16,47394,1000,0.00209,1,0.9646,0.03347997221579202,0.03347997221579202
6767,9914,1,17,47393,1000,0.02987,0,0.8855,0.03347997221579202,0.03347997221579202
6767,9914,1,18,47392,1000,0.03899,0,0.897,0.03347997221579202,0.03347997221579202
6767,9914,1,19,47391,1000,0.03177,0,0.7235,0.03347997221579202,0.03347997221579202
6767,9914,1,20,47390,1000,0.08644,0,0.9762,0.03347997221579202,0.03347997221579202
6767,9914,1,21,47389,1000,0.03087,0,0.9854,0.03347997221579202,0.03347997221579202
6767,9914,1,22,47388,1000,0.05525,0,0.9977,0.03347997221579202,0.03347997221579202
6767,9914,1,23,47387,1000,0.05599,0,0.9922,0.03347997221579202,0.03347997221579202
6767,9914,1,24,47386,1000,0.0608,0,0.9473,0.03347997221579202,0.03347997221579202
6767,9914,0,5,47405,1000,0.00576,1,0.8916,0.03827274832137095,0.043042370919195494
6767,9914,0,6,47404,1010,0.01117,0,0.6824,0.03827274832137095,0.043042370919195494
6767,9914,0,7,47403,1018,0.02559,0,0.6824,0.03827274832137095,0.043042370919195494
